index,source,description,material,unit,rate,cci,decision,reason
1047,PA,GL23 - 10.905 X 1.725,concrete,m2,5202.0,243.4538,KEEP,Valid unit rate with reliable CCI
1048,PA,GL24 - 6.49 X 1.725,concrete,m2,5202.0,243.4538,KEEP,Valid unit rate with reliable CCI
1049,PA,GL25 - 9.025 X 1.725,concrete,m2,5202.0,243.4538,KEEP,Valid unit rate with reliable CCI
1050,PA,GL26 - 8.58 X 1.725,concrete,m2,5202.0,243.4538,KEEP,Valid unit rate with reliable CCI
1051,PA,GL27 (Refer drawing for dimensions),concrete,m2,5202.0,243.4538,KEEP,Valid unit rate with reliable CCI
1052,PA,GL28 - 20.65 X 1.88,concrete,m2,5202.0,243.4538,KEEP,Valid unit rate with reliable CCI
1053,PA,"Providing, fabricating and fixing of suspended grid false ceiling  by using  7 m",paint,m2,930.0,432.1561,KEEP,Valid unit rate with reliable CCI
1054,PA,Providing and fixing of 12mm thk  Gypboard false ceiling   with Gypsteel© GI per,paint,m2,1120.0,520.4461,KEEP,Valid unit rate with reliable CCI
1059,PA,Supplying and fixing in position M.S.chequered plate 5mm thick  with necessary s,steel,kg,93.0,54.0698,KEEP,Valid unit rate with reliable CCI
1060,PA,Providing  and applying  plastic  emulsion  paint for interiors  walls with 2 co,paint,m2,157.0,72.9554,KEEP,Valid unit rate with reliable CCI
1061,PA,Lobby area upto sill 1.2 m,paint,m2,157.0,72.9554,KEEP,Valid unit rate with reliable CCI
1062,PA,Providing and applying Plastic emulsion paint for interior ceiling  with 2 coats,paint,m2,157.0,72.9554,KEEP,Valid unit rate with reliable CCI
1063,PA,"Providing and applying 2 coats of whitewash of approved make, over RCC/sponge pl",concrete,m2,77.0,3.6036,KEEP,Valid unit rate with reliable CCI
1064,PA,Providing and applying 2 coats of Oil bound Distemper  of approved shade / colou,paint,m2,121.0,56.2268,KEEP,Valid unit rate with reliable CCI
1065,PA,Providing & applying 2 of Synthetic Enamle paint of approved make/shade with a c,concrete,m2,223.0,3.9137,KEEP,Valid unit rate with reliable CCI
1066,PA,Providing  and applying  Weather  scheild external grade emulsion  paint of appr,paint,m2,226.0,105.0186,KEEP,Valid unit rate with reliable CCI
1067,PA,Texture Paint- longer side/ For wall,paint,m2,510.0,236.9888,KEEP,Valid unit rate with reliable CCI
1068,PA,Texture Paint -Grc jaali / For GRC Jaali,paint,m2,510.0,236.9888,KEEP,Valid unit rate with reliable CCI
1069,PA,Texture Paint - RCC Chajja / Elevation beam,concrete,m2,510.0,23.868,KEEP,Valid unit rate with reliable CCI
1080,PA,M50 Grade of concrete,concrete,m3,283.71144,0.6755,KEEP,Valid unit rate with reliable CCI
1081,PA,M40 Grade of concrete,concrete,m3,503.1459875000001,1.3189,KEEP,Valid unit rate with reliable CCI
1082,PA,M35 Grade of concrete,concrete,m3,514.5053425,1.444,KEEP,Valid unit rate with reliable CCI
1083,PA,M30 Grade of concrete,concrete,m3,510.3714374999999,1.541,KEEP,Valid unit rate with reliable CCI
1084,PA,M50 Grade of concrete - Over & above 2.05W Beam Qty,concrete,m3,1689.34,4.0222,KEEP,Valid unit rate with reliable CCI
1085,PA,M40 Grade of concrete - Over & above 2.05W Beam Qty,concrete,m3,442.77,1.1606,KEEP,Valid unit rate with reliable CCI
1086,PA,M35 Grade of concrete - Over & above 2.05W Beam Qty,concrete,m3,183.13,0.514,KEEP,Valid unit rate with reliable CCI
1088,PA,SD1 - 2.40m x 2.350m & SD1a - 2.40m x 2.25m,concrete,m2,5178.0,193.7693,KEEP,Valid unit rate with reliable CCI
1089,PA,W1- 2.4 x 2.25,concrete,m2,5178.0,193.7693,KEEP,Valid unit rate with reliable CCI
1090,PA,W2- 1.8 x 1.2 for Staircase & FCR,concrete,m2,5178.0,193.7693,KEEP,Valid unit rate with reliable CCI
1091,PA,W3- 1.2 x 1.25-Kitchen& Utility,concrete,m2,5178.0,193.7693,KEEP,Valid unit rate with reliable CCI
1092,PA,W4- 1.425 x 1.25 for Utility,concrete,m2,5178.0,193.7693,KEEP,Valid unit rate with reliable CCI
1093,PA,W8- 1.625 x 1.25- For Utility,concrete,m2,5178.0,193.7693,KEEP,Valid unit rate with reliable CCI
1094,PA,W6- 0.8 x 2.25-Bedroom,concrete,m2,5178.0,193.7693,KEEP,Valid unit rate with reliable CCI
1095,PA,W6a - 0.8 x 1.25- Bedroom,concrete,m2,5202.0,194.6674,KEEP,Valid unit rate with reliable CCI
1096,PA,W6b - 0.7 x 1.25- Bedroom,concrete,m2,5202.0,194.6674,KEEP,Valid unit rate with reliable CCI
1097,PA,W7- 0.75 x 1.6m- Bedroom/Lobby(AC ledge Access Door),concrete,m2,5178.0,193.7693,KEEP,Valid unit rate with reliable CCI
1098,PA,W7a-0.75 x 1.85- Utility(AC Ledge Access Door),concrete,m2,5202.0,194.6674,KEEP,Valid unit rate with reliable CCI
1099,PA,W7b-0.70 x 1.85- Utility(AC Ledge Access Door),concrete,m2,5202.0,194.6674,KEEP,Valid unit rate with reliable CCI
1100,PA,W9- 0.7 x 1.6- Living/Dining(AC Ledge Access Door),concrete,m2,5178.0,193.7693,KEEP,Valid unit rate with reliable CCI
1101,PA,V1- 0.9 x 0.75,concrete,m2,5178.0,193.7693,KEEP,Valid unit rate with reliable CCI
1102,PA,V2- 0.75 x 0.6,concrete,m2,5178.0,193.7693,KEEP,Valid unit rate with reliable CCI
1103,PA,W11(2.2X1.15),concrete,m2,5178.0,193.7693,KEEP,Valid unit rate with reliable CCI
1104,PA,W14(5.2x1.15),concrete,m2,5178.0,193.7693,KEEP,Valid unit rate with reliable CCI
1109,PA,Supply & laying of 50mm Thk Thermocoal between the layers of 250Micron LDPE shee,insulation,m2,170.0,91.3978,KEEP,Valid unit rate with reliable CCI
1111,PA,"Change in Specification:
Providing , placing and fixing in position 25mm board o",concrete,m2,878.6,32.8787,KEEP,Valid unit rate with reliable CCI
1113,PA,Providing & laying Plumbing Groove Packing with Cement Mortar 1:4 mixing. Rate s,mortar,m,73.0,350.9615,KEEP,Valid unit rate with reliable CCI
1115,PA,2.4 M Length,concrete,m2,11624.635866736076,665.7867,KEEP,Valid unit rate with reliable CCI
1116,PA,3.05 M Length,concrete,m2,11926.745983935743,683.0897,KEEP,Valid unit rate with reliable CCI
1117,PA,3.35 M Length,concrete,m2,11762.198354661792,673.6654,KEEP,Valid unit rate with reliable CCI
1121,PA,"Fire rated Intumescent/vermiculite paint( 2 Hrs Fire painting)
Supplying and app",steel,m2,224.82506666666663,130.7122,KEEP,Valid unit rate with reliable CCI
1139,PA,12mm Dia Rebar,steel,nos,500.0,290.6977,KEEP,Valid unit rate with reliable CCI
1140,PA,16mm Dia Rebar,steel,nos,600.0,348.8372,KEEP,Valid unit rate with reliable CCI
1145,PA,Drilling of 280mm dia bore hole at all kinds of strata upto 12 mtr depth 1000mm ,paint,m,1028.5,477.9275,KEEP,Valid unit rate with reliable CCI
1147,PA,Grouting of annular space of the micro pile using cement with non shrink adhesiv,paint,m,704.0,327.1375,KEEP,Valid unit rate with reliable CCI
1148,PA,Laying of M-20 grade Concrete for Micro pile inside complete. Site Mix/RMC.,concrete,m3,7040.0,24.7104,KEEP,Valid unit rate with reliable CCI
1150,PA,Shortcrete:Providing and laying of 50mm thk shotcrete with 1:2:1 grout (as per I,concrete,m2,1397.0,98.0695,KEEP,Valid unit rate with reliable CCI
1155,PA,Basement - 2 (for Basement beyond Tower),concrete,m3,5584.0,18.5023,KEEP,Valid unit rate with reliable CCI
1156,PA,Basement - 1 (for Basement beyond Tower),concrete,m3,5584.0,18.5023,KEEP,Valid unit rate with reliable CCI
